Timestamp,CPU_Usage(%),Memory_Usage(%),Net_Sent(Bytes),Net_Recv(Bytes),Disk_Read(Bytes),Disk_Write(Bytes),Battery_Percent
13:33:13,0.0,71.8,0,0,0,0,48
13:33:18,28.2,72.1,26728448,76331008,2301952,1974272,48
13:33:23,26.2,71.4,26428416,75364352,540672,344064,48
13:33:28,28.9,71.9,25711616,73205760,2154496,5951488,48
13:33:33,29.2,72.8,25261056,74415104,4263936,1794048,48
13:33:38,29.2,72.7,28253184,78846976,3239936,2666496,48
13:33:43,27.3,72.1,28494848,81499136,643072,1495040,48
13:33:48,33.3,75.6,23578624,67428352,5214208,3780608,48
13:33:53,30.7,76.1,24348672,69464064,10485760,6737920,48
13:33:58,27.8,75.3,23912448,68838400,4939776,7094272,48
13:34:03,25.7,76.0,21099520,60868608,11530240,1314816,48
13:34:08,23.4,74.8,20594688,59139072,10944512,2752512,48
13:34:13,20.6,73.5,20130816,57695232,1978368,1519616,48
13:34:18,29.3,78.8,5578752,15758336,864256,2560000,48
13:34:23,26.2,75.2,31744,35840,53620736,1753088,48
13:34:28,22.6,74.1,61440,72704,55123968,6111232,48
13:34:33,30.9,74.1,481280,576512,29999104,3682304,48
13:34:38,27.0,73.5,109568,113664,6504448,3321856,48
13:34:43,20.2,73.4,101376,94208,6844416,2043904,48
13:34:48,20.3,73.8,46080,44032,782336,2228224,48
13:34:53,17.7,73.8,26624,20480,1724416,1667072,48
13:34:58,21.1,73.2,58368,68608,4153344,4034560,48
13:35:03,20.2,73.2,41984,47104,9011200,1998848,48
13:35:08,20.3,73.7,44032,40960,3493888,1564672,48
13:35:13,19.4,71.9,26624,19456,4141056,2433024,48
13:35:18,24.4,72.5,19456,17408,393216,978944,48
13:35:23,20.0,73.4,9216,8192,2818048,1589248,48
13:35:28,22.3,73.9,33792,29696,3190784,5672960,48
13:35:33,35.9,77.2,434176,522240,122671104,3518464,48
13:35:38,48.8,78.9,78848,77824,206282752,9961472,48
13:35:43,28.6,77.7,70656,54272,87040000,8478720,48
13:35:48,23.6,78.0,14336,13312,15482880,4579328,48
13:35:53,21.5,77.4,54272,19456,35500032,3145728,48
13:35:58,22.8,77.0,35840,20480,8306688,7954432,48
13:36:03,21.4,77.0,53248,77824,3469312,2945024,48
13:36:08,22.3,77.9,52224,45056,3526656,1585152,48
13:36:13,26.7,77.9,61440,50176,64241664,1347584,48
13:36:18,34.7,83.3,33792,34816,11366400,98979840,48
13:36:23,43.6,72.2,3804160,7434240,12750848,96731136,48
13:36:28,47.9,79.9,2601984,4983808,130506752,372457472,48
13:36:33,72.3,77.3,414720,521216,165621760,763543552,48
13:36:38,39.1,53.6,73728,72704,196075520,19034112,48
13:36:43,12.0,54.5,17408,11264,47538176,1101824,48
13:36:48,14.1,54.7,21504,15360,1392640,1007616,48
13:36:53,7.5,53.0,21504,10240,1490944,1130496,48
13:36:58,11.8,53.8,23552,23552,11784192,7192576,48
13:37:03,8.3,54.0,22528,21504,1720320,2785280,48
13:37:08,9.2,53.9,35840,29696,1007616,2048000,48
13:37:13,8.1,53.1,25600,16384,5758976,991232,48
13:37:18,10.9,54.1,12288,9216,2277376,1003520,48
13:37:23,8.3,54.1,32768,39936,1929216,974848,48
13:37:28,8.8,53.7,82944,67584,31940608,7041024,48
13:37:33,11.4,54.2,215040,286720,12918784,1331200,48
13:37:38,17.9,56.3,128000,121856,118706176,7217152,48
13:37:43,14.6,55.9,38912,24576,51433472,4227072,48
13:37:48,14.6,55.9,16384,14336,37486592,2256896,48
13:37:53,32.0,56.9,99328,106496,130334720,7000064,48
13:37:58,32.4,56.6,35840,26624,26976256,13606912,48
13:38:03,8.9,56.7,27648,23552,1417216,2473984,48
13:38:08,8.0,57.5,51200,62464,2113536,1757184,48
13:38:13,12.7,55.9,74752,68608,27385856,3735552,48
13:38:18,10.7,56.2,53248,27648,11939840,6008832,48
13:38:23,25.3,58.1,126976,98304,71053312,8912896,48
13:38:28,11.6,56.9,39936,23552,5189632,14929920,48
13:38:33,11.6,57.9,142336,180224,7315456,5431296,48
13:38:38,12.8,58.7,32768,29696,24678400,9605120,48
13:38:43,9.9,57.8,53248,19456,4186112,3723264,48
13:38:48,14.9,58.4,61440,24576,12394496,5570560,48
13:38:53,10.9,58.4,78848,53248,8114176,5820416,47
13:38:58,10.9,58.0,97280,115712,11563008,11165696,47
13:39:03,8.5,58.0,29696,36864,1122304,1060864,47
13:39:08,9.8,59.0,58368,40960,11849728,3293184,47
13:39:13,8.3,57.7,4561920,14103552,962560,0,47
13:39:18,17.9,57.7,18108416,50970624,925696,2879488,47
13:39:23,18.1,58.3,15830016,45213696,1888256,1654784,47
13:39:28,18.6,57.8,13424640,38517760,1875968,8032256,47
13:39:33,20.9,58.8,10807296,30123008,59445248,1146880,47
13:39:38,21.0,59.8,12716032,35982336,1101824,3805184,47
13:39:43,19.2,58.7,15256576,44101632,397312,1056768,47
13:39:48,19.0,59.0,17504256,49675264,348160,1757184,47
13:39:53,19.8,59.5,17319936,49478656,2637824,983040,47
13:39:58,22.9,58.9,21633024,61643776,5836800,6246400,47
13:40:03,21.0,59.1,16030720,45569024,4231168,1884160,47
13:40:08,20.9,60.5,15979520,45611008,1839104,987136,47
13:40:13,30.2,58.8,24644608,70372352,3829760,1019904,47
13:40:18,27.4,59.0,29778944,84848640,520192,974848,47
13:40:23,30.8,60.2,31538176,89683968,20279296,2666496,47
13:40:28,25.4,63.2,25391104,71963648,4132864,7213056,47
13:40:33,37.4,62.1,27745280,78429184,27643904,3895296,47
13:40:38,36.8,61.7,31586304,89736192,10772480,5447680,47
13:40:43,38.4,60.0,27973632,79058944,10125312,2846720,47
13:40:48,36.5,60.6,22549504,64248832,56565760,13946880,47
13:40:53,28.9,61.5,22902784,65207296,57421824,52645888,47
13:40:58,26.5,60.8,23890944,67832832,5640192,13185024,47
13:41:03,24.0,60.8,25166848,71714816,589824,1437696,47
13:41:08,27.9,61.5,30481408,86550528,2744320,1810432,47
13:41:13,25.3,60.9,29292544,83436544,2629632,1048576,47
13:41:18,24.5,60.7,24409088,69964800,2179072,1155072,47
13:41:23,25.4,61.7,26689536,76318720,6406144,1130496,47
13:41:28,27.8,62.8,25734144,73391104,70909952,5447680,47
13:41:33,26.0,62.9,24604672,70067200,5799936,1331200,47
13:41:38,22.1,63.7,19388416,55171072,1294336,3051520,47
13:41:43,25.0,63.2,20560896,58685440,2207744,2592768,47
13:41:48,19.3,63.1,16562176,47431680,208896,1105920,47
13:41:53,20.9,63.8,19063808,54555648,917504,974848,47
13:41:58,20.6,63.1,17574912,49947648,880640,4403200,47
13:42:03,23.9,63.3,22742016,65037312,6381568,1368064,47
13:42:08,23.9,64.1,24296448,69454848,2367488,1179648,47
13:42:13,23.3,62.5,27148288,77744128,5640192,995328,47
13:42:18,27.6,62.6,28378112,81033216,4096000,1433600,46
13:42:23,23.8,63.5,25968640,74039296,1130496,315392,46
